post,PosExp,NegExp,SymtomsOK,SymtomsNotOK,NoSideEffectsPresent,SideEffectsPresent,Rating,url,drug
"I have been on Tamoxifen for three months. I was put on it because of my increased risk for developing breast cancer. I have had no side effects at all. I also feel much calmer and relaxed. Before my period I would get very emotional and moody. Since I no longer have periods, I no longer experience this. I seem to be craving candy, but probably just trying to blame my sweet tooth on something besides my lack of will power. I have also lost 8 pounds",1,0,1,0,1,1,10,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I was diagnosed with DC breast cancer in November 2014. After 6 chemo treatments, a double mastectomy and 33 radiation treatments, I have been on Tamoxifen for 7 months. The hot flashes are getting better at times, and I'm taking Gapapentin for my hot flashes, the back and hip pain is horrible , I have put on 20lbs, I go to the gym 3 to 4 times a week and ride my horse 3 times a week, but all forced . I feel bad pretty much all the time. Always sick to my stomach . Working out makes me feel more sick, but I push thru it anyway. No matter what I do I can't drop weight. I'm in the process of loosing my eyelashes for the 4th time . I use to have pretty, thick hair and now it's thin. My memory is horrible. I hate this life.",0,6,1,1,0,1,10,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I was on Tamoxifen for 5 years after a Mastectomy for Estrogen based Breast cancer. During the last years and ongoing I have been overwhelmed with fatty tumors. Some are growing at a rapid rate and some that were soft are turning hard?? They are on my rib cage, my abdomen, my legs and 1 or 2 on my arms. I seem to be the only one concerned.",0,1,0,0,0,1,10,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I have been in tamoxifen for 5 months now and it truly is difficult to isolate the side effects of the drug alone due to the fact that I was peri menopausal prior to being diagnosed with Stage 2 breast cancer with micro metastasis in one lymph node. I am 52 years old. My primary complaint is insomnia. I have become a light sleeper, waking up 10-20 each night. While I am able to fall asleep again, I never feel as though I have had a deep, restful sleep. I take my tamoxifen in the morning after I brush my teeth. A year post diagnosis which included surgery (partial mastectomy), chemotherapy, 25 rounds of radiation and now tamoxifen, I have endeavoured to train for an Iroman race in August. I am getting stronger every day",1,0,0,0,0,3,10,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"Was for 5 yrs, increased to 10yrs, I'm in year 7. Had 3 lumpectomies within 3 month span, had chemo, radiation, plus 1 year of Herceptin for Ductal carcinoma in situ T2 HER2+ I am alive and plan on staying that way. After much research and talking to doctors, the conclusion is that Chemo and Tamoxifen seem to have precipitated other chronic illnesses, Chronic Fatigue, Fibromyalgia, OsteoArthirtis, Osteopenia, Clinical depression, Gastroenteritis, worsened IBS and PTSD. My legs, lower back & fingers are usually swollen and usually in pain. I wanted off the Tamoxifen, due to the weakness in my legs & Fatigue. No other was as effective in inhibiting estrogen. I still lose my hair, gained 130lbs, I'm in a wheelchair. I'm alive. 3 yrs to go",1,0,0,1,0,4,10,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I have been on Tamoxefin for 40 days... Here's my story: I was diagnosed with stage 1 breast cancer (98% estrogen fed) in Alr 2015. I did not need chemo or radiation. I was told after surgery (June 2015) that I had to take ""Tomy"" for 5 years. I fought the idea, but eventually decided to give it a try. So far, the main complaint I have is fatigue. I take it at night and that's helps... Some joint pain, vaginal discharge (clear mostly) and the BEST thing about Tommy is that it has calms me down. I am about 30% of the energized person I was before. I no longer get feel like I need to solve the worlds problems in a day! So, I can honesty say, that's a big plus! ... WEIGHT CHANGES: I became Vegan and did not loose any weight! :((",2,1,0,0,0,2,10,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
I have been on tamoxifen for almost a year now. I experience hot flashes. Which can be unbearable at times. I have joint pain which make it hard to walk. I also have gain about 10 to 15 pounds since I have been taking this medicine,0,0,0,2,0,1,9,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I started taking Tamoxifen in September of 2013. The side effects kicked in after about a week. My fingers completely seized up and if I crouched down I couldn't get up again! The joint pain was unbearable so my oncologist decided to take me off it for 6 months. He then introduced it gradually, 10mg a day instead of 20mg. So far so good! After 6 months of that he put me back up to the full dose and the pain didn't return! I've been on it ever since. My periods are here and there but are quite heavy and painful when I do get them. I wish they'd just stop. Just keeping everything crossed that the cancer stays away. Good luck to all you fellow survivors and keep fighting the fight!",2,0,0,3,0,3,8,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
I've been on this drug for nine miserable months now. I had said I would try it for one year and I'm not sure I can make that. It appears that quality of life is not something my doctor cares about. It's almost as if he's being paid by the tamoxifen people because he won't even listen to anything negative about the drug. My hot flashes are unbelievable. My joint pain makes it difficult to walk. I haven't slept in nearly a year. This drug makes life not worth living.,0,3,0,2,0,1,8,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I had Stage 1 IDC Breast Cancer, diagnosed in June 2013, mastectomies in August 2013, started tamoxifen October 2013. After experiencing stomach digestive issues I went off it in March 2014 until August, then back on and have been on it ever since. So almost 1 year straight, but another 5 months of it before that as well. My biggest complaint is feeling so wiped out by the end of the day. I take it at night when going to bed, usually 10pm-ish. Does anyone think switching the time I take the pill will matter? I have also noticed a 5-10 pound weight gain. I'm very active and fit - lift weights, run, do crossfit. I have found that the side effects of this drug are forcing me to live and eat cleaner to try and reduce them",0,1,0,0,0,1,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I have male breast cancer. I do find it uncomfortable to only read about ladies issues, but understandable. I have found that I feel depressed, and mood swings for sure. Upset tummy is common, so try to keep hydrated. Seem to get lethargic, tired around 3-5pm, but take my medication just before bed, 10-11pm. May consider changing this. Given the alternatives and worrying how my family would cope without me as the bread winner, makes the decision to continue to take it an easy one. I am not going to give in to it. I'm 59, and lost my brother to it aged 39. Played my first 70 min game of tennis today in 14 months, and really found it made a difference. So maybe keeping fit is one way of fighting back",1,0,0,0,0,3,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I've been on Tamoxifen for a year now. A few joint aches but all in all not too many problems. When I started the medicine I was a Pescitarian( only at fish or seafood) I have maybe two hot flashes at night. I take my pill at 5pm daily. I too was told I need to be on it for 10 years. Considering the alternative, I don't have too many bad things to say about it. Glad to be cancer free!! Hope this keeps me that way. Turning 50 in three days!!",2,0,1,0,0,2,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
"I'm on my 6th year taking Tamoxifen. I was on it for 5 years, and stopped - at that time it was thought I should only take it for 5yrs. A year after being off and the new research came out that I should do it another 5 years. I've been back on now for about 6 months and I'm seriously considering stopping. Side effects are so bad that I'm having a hard time getting through life. Mood swings and bone pain are my 2 main issues. The thing is, I'm cancer free and of course want to stay that way. I think that if my Doctors were more realistic (honest) about the side effects it would be a little easier to deal with them. Reading some of the statements here is helpful actually - I feel a little less alone",1,0,0,1,0,2,7,http://www.drugs.com/comments/tamoxifen/for-breast-cancer.html,tamoxifen
